uid,snd,run,time,target,generation,logsigma,parvec,submit
1001,abstract,1,8.7353618145,happy,1,-0.8,"[0.3663413957055819, 0.5051060219253654, 0.4337665093897156, 0.3807940243652249, 0.8331810713733867, 0.0, 0.0, 0.0017518488550984897, 0.05280225987644187, 0.40856890030041926, 0.5715171084456874]",0
1001,abstract,1,19.5521199703,happy,2,-1.0,"[0.26700655658870187, 0.21016346435241423, 0.5190761287170478, 0.18877506814014527, 0.8379294003205915, 0.0, 0.18277421757254025, 0.0, 0.0, 0.47473762926189617, 0.6090598215253321]",0
1001,abstract,1,25.2104737759,happy,3,-1.2,"[0.26700655658870187, 0.21016346435241423, 0.5190761287170478, 0.18877506814014527, 0.8379294003205915, 0.0, 0.18277421757254025, 0.0, 0.0, 0.47473762926189617, 0.6090598215253321]",0
1001,abstract,1,30.1243848801,happy,4,-1.4,"[0.19674697196513857, 0.2808843575511182, 0.8776255120488008, 0.16248477640770811, 1.0, 0.03859963101042492, 0.0, 0.06537471819394076, 0.30840049494861216, 0.25326957396016103, 0.863584286448515]",0
1001,abstract,1,38.1540229321,happy,5,-1.6,"[0.19674697196513857, 0.2808843575511182, 0.8776255120488008, 0.16248477640770811, 1.0, 0.03859963101042492, 0.0, 0.06537471819394076, 0.30840049494861216, 0.25326957396016103, 0.863584286448515]",0
1001,abstract,1,44.5736629963,happy,6,-1.8,"[0.19674697196513857, 0.2808843575511182, 0.8776255120488008, 0.16248477640770811, 1.0, 0.03859963101042492, 0.0, 0.06537471819394076, 0.30840049494861216, 0.25326957396016103, 0.863584286448515]",0
1001,abstract,1,56.4279999733,happy,7,-2.0,"[0.19674697196513857, 0.2808843575511182, 0.8776255120488008, 0.16248477640770811, 1.0, 0.03859963101042492, 0.0, 0.06537471819394076, 0.30840049494861216, 0.25326957396016103, 0.863584286448515]",0
1001,abstract,1,62.3856239319,happy,8,-2.2,"[0.12349810107440558, 0.13339568981640285, 1.0, 0.1092300243208223, 1.0, 0.1398081345309707, 0.21005361587715612, 0.19245244250188615, 0.24757244847847357, 0.1780610880655595, 0.7487438457971514]",0
1001,abstract,1,67.7622787952,happy,9,-2.4,"[0.12349810107440558, 0.13339568981640285, 1.0, 0.1092300243208223, 1.0, 0.1398081345309707, 0.21005361587715612, 0.19245244250188615, 0.24757244847847357, 0.1780610880655595, 0.7487438457971514]",0
1001,abstract,1,73.4231238365,happy,10,-2.6,"[0.12349810107440558, 0.13339568981640285, 1.0, 0.1092300243208223, 1.0, 0.1398081345309707, 0.21005361587715612, 0.19245244250188615, 0.24757244847847357, 0.1780610880655595, 0.7487438457971514]",0
1001,abstract,1,79.2285888195,happy,11,-2.8,"[0.12349810107440558, 0.13339568981640285, 1.0, 0.1092300243208223, 1.0, 0.1398081345309707, 0.21005361587715612, 0.19245244250188615, 0.24757244847847357, 0.1780610880655595, 0.7487438457971514]",0
1001,abstract,1,85.2679638863,happy,12,-3.0,"[0.12349810107440558, 0.13339568981640285, 1.0, 0.1092300243208223, 1.0, 0.1398081345309707, 0.21005361587715612, 0.19245244250188615, 0.24757244847847357, 0.1780610880655595, 0.7487438457971514]",1
1001,abstract,1,6.83113503456,surprised,0,-0.8,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",0
1001,abstract,1,15.1256768703,surprised,1,-1.0,"[0.14371998957049226, 0.6583077606482823, 0.2892094848351028, 0.1896322018461563, 0.7257384815318519, 0.0369234349488612, 0.15751230416154494, 0.19080621203397483, 0.0, 0.0, 1.0]",0
1001,abstract,1,21.4175479412,surprised,2,-1.2,"[0.14371998957049226, 0.6583077606482823, 0.2892094848351028, 0.1896322018461563, 0.7257384815318519, 0.0369234349488612, 0.15751230416154494, 0.19080621203397483, 0.0, 0.0, 1.0]",0
