uid,snd,run,time,target,generation,logsigma,parvec,submit
1001,vocal,3,8.14186692238,happy,1,-0.8,"[0.7351720618248853, 0.0, 0.3810773118437037, 0.23261110824772965, 0.2649000353993148, 0.5573583402104613, 0.6834201853985149, 0.28408740250073056, 0.027701959757900685, 1.0, 0.365637854188449, 0.5175106467441093]",1
1001,vocal,3,6.39117908478,surprised,0,-0.8,"[0.5228614566196924, 0.34309599165977556, 0.5378496586758821, 0.0, 0.0, 0.05613731811066286, 0.6948564037962368, 0.0, 0.0832879235639279, 1.0, 0.2315646681847568, 0.05193720647319172]",0
1001,vocal,3,15.3570370674,surprised,1,-1.0,"[0.5228614566196924, 0.34309599165977556, 0.5378496586758821, 0.0, 0.0, 0.05613731811066286, 0.6948564037962368, 0.0, 0.0832879235639279, 1.0, 0.2315646681847568, 0.05193720647319172]",1
1001,vocal,3,13.9295740128,angry,0,-0.8,"[0.8087872940681406, 0.06206325645878991, 0.7917958407270007, 0.0, 0.055225207649443574, 0.593856800827155, 0.42741328240286247, 0.0, 0.0, 0.372771997856821, 0.32770233878228217, 0.8062917699916975]",0
1001,vocal,3,22.7059350014,angry,1,-1.0,"[1.0, 0.0, 0.7122175416440466, 0.0, 0.27307300523750583, 0.605149022471421, 0.7480306189605067, 0.15717975152829752, 0.3710375333889423, 0.9992662256634872, 0.5594173357304884, 1.0]",0
1001,vocal,3,30.9975390434,angry,2,-1.2,"[0.803624904856078, 0.0, 1.0, 0.0, 1.0, 0.2629357097381106, 0.8570367894669242, 0.0, 0.061183271846833864, 0.9046604341183151, 0.2686142264064622, 1.0]",1
1001,vocal,3,6.75962805748,disgusted,0,-0.8,"[0.5624812823491168, 0.5154850342453379, 0.6623726554284163, 0.1521984910615812, 0.025336402066992055, 0.0, 0.41754846693561476, 0.0, 0.5493266403868047, 1.0, 0.3080710284813874, 0.563426606369609]",1
1001,vocal,3,11.3276479244,sad,0,-0.8,"[0.970676595593799, 0.14937712258153898, 0.6052617169484642, 0.20144413560356259, 0.0, 0.3331756970599212, 0.33483851240093665, 0.5736771539737617, 0.0, 0.8526953786722713, 0.6411282101768654, 0.5128274748736952]",0
1001,vocal,3,21.8914518356,sad,1,-1.0,"[1.0, 0.0, 0.41011235705775806, 0.0, 0.22585674403267203, 1.0, 0.0007982128945113187, 0.0, 0.0, 1.0, 1.0, 0.684533379197823]",0
1001,vocal,3,30.3929839134,sad,2,-1.2,"[0.9868116850210428, 0.0, 0.8818397111064101, 0.15856871151400542, 0.37495278843172114, 0.64955763749757, 0.32915931152471506, 0.0, 0.0, 0.8593667389701846, 1.0, 0.9657609600716073]",0
1001,vocal,3,36.2106440067,sad,3,-1.4,"[0.969091332080724, 0.0, 0.7430177027095811, 0.23054571366447874, 0.0, 0.6935959330093762, 0.2736882065091576, 0.0, 0.0, 1.0, 1.0, 0.8838321038521831]",0
1001,vocal,3,47.965626955,sad,4,-2.4,"[0.969091332080724, 0.0, 0.7430177027095811, 0.23054571366447874, 0.0, 0.6935959330093762, 0.2736882065091576, 0.0, 0.0, 1.0, 1.0, 0.8838321038521831]",0
1001,vocal,3,55.6201579571,sad,5,-2.6,"[0.9280789490840552, 0.0, 0.7753594788559935, 0.12978083713757563, 0.0, 0.680617839739121, 0.36932610888703477, 0.1036649723804549, 0.0, 1.0, 1.0, 1.0]",0
1001,vocal,3,71.1036529541,sad,6,-2.8,"[0.9280789490840552, 0.0, 0.7753594788559935, 0.12978083713757563, 0.0, 0.680617839739121, 0.36932610888703477, 0.1036649723804549, 0.0, 1.0, 1.0, 1.0]",1
1001,vocal,3,9.01618885994,calm,0,-0.8,"[0.7682667970657349, 0.0, 0.6333333253860474, 0.0, 0.0, 0.4615384638309479, 0.5, 0.0, 0.0, 0.625, 0.5, 0.375]",0
1001,vocal,3,14.1245679855,calm,1,-1.0,"[0.9058129698667486, 0.0, 0.5234487682645732, 0.17127408766994928, 0.529650594503835, 0.5239473539830751, 0.4924658327688103, 0.09409920173939763, 0.0, 0.6660165020857972, 0.5202984087143293, 0.0]",0
1001,vocal,3,33.7817368507,calm,2,-1.2,"[0.9058129698667486, 0.0, 0.5234487682645732, 0.17127408766994928, 0.529650594503835, 0.5239473539830751, 0.4924658327688103, 0.09409920173939763, 0.0, 0.6660165020857972, 0.5202984087143293, 0.0]",1
